"address.changes";"address.language";"address.lang.changes";"current.profession";"profession.changes";"gender";"num.gender.corrections";"name.changes";"current.nationality";"nationality.changes";"phone.changes";"cust.age";"credit.card.owner";"mean.num.atm.withdr";"mean.num.check.cash.withdr";"mean.num.check.cash.deposits";"mean.num.reg.pmnt.init.by.cust";"mean.num.salary.deposits";"mean.num.transfers";"mean.amnt.pmnts.init.by.cust";"mean.num.security.pur.ord";"mean.num.security.sales.ord";"mean.amnt.atm.withdr";"mean.check.cash.withdr";"mean.cash.deposits";"mean.amnt.reg.pmnt.init.by.cust";"mean.check.credits";"mean.salary.deposits";"mean.check.debits";"mean.amnt.transfers";"mean.num.pmnts.init.by.cust";"mean.amnt.security.pur.ord";"mean.amnt.security.sales.ord";"mean.num.saving.cash.withdr";"mean.num.saving.cash.deposits";"mean.amnt.saving.cash.withdr";"mean.amnt.saving.cash.deposits";"mean.saving.balance";"stdev.num.atm.withdr";"stdev.num.check.cash.withdr";"stdev.num.check.cash.deposits";"stdev.num.reg.pmnt.init.by.cust";"stdev.num.salary.deposits";"stdev.num.transfers";"stdev.amnt.pmnts.init.by.cust";"stdev.num.security.pur.ord";"stdev.num.security.sales.ord";"stdev.amnt.atm.withdr";"stdev.check.cash.withdr";"stdev.cash.deposits";"stdev.amnt.reg.pmnt.init.by.cust";"stdev.check.credits";"stdev.salary.deposits";"stdev.check.debits";"stdev.amnt.transfers";"stdev.num.pmnts.init.by.cust";"stdev.amnt.security.pur.ord";"stdev.amnt.security.sales.ord";"stdev.num.saving.cash.withdr";"stdev.num.saving.cash.deposits";"stdev.amnt.saving.cash.withdr";"stdev.amnt.saving.cash.deposits";"stdev.saving.balance";"cust.age.bin";"mean.salary.deposits.bin"
0;"GE";0;"lawyer";1;"f";0;0;"CH";0;0;24.0833333;"Yes";2.57142857;1;0;0.7142857;0.7142857;0.28571429;0;0;0;1028.57143;973.31112;0;417.85714;8580.86625;8459.022;2419.73969;121.84425;0;0;0;0;0;0;0;10008.0635;2.2253946;0;0;0.48795;0.48795;0.48795;0;0;0;543.79618;385.194;0;285.45077;6641.5530868;6812.5790053;1058.677;322.3695842;0;0;0;0;0;0;0;0;"2:[20.63,40.35)";"4:[7,477.86,9,970.48)"
0;"GE";0;"engineer";0;"f";0;0;"CH";0;0;25.8333333;"Yes";1.66666667;1.66666667;0;1;1;0;0;0;0;1483.33333;3002.91969;0;450;6110.412;6110.412;4936.25302;0;0;0;0;0;0.66666667;0;1916.666667;23761.6987;0.8164966;0.5163978;0;0;0;0;0;0;0;669.82585;2228.965;0;0;3.4572914;3.4572914;1980.438;0;0;0;0;0;0.5163978;0;2119.82704;5172.10467;"2:[20.63,40.35)";"3:[4,985.24,7,477.86)"
0;"IT";0;"engineer";0;"m";0;0;"CH";0;0;67.0833333;"Yes";2;2;0;0;1;0;0;0;0;4450;5285.51276;0;0;7029.792;7029.792;9735.51276;0;0;0;0;0;1;0;3500;650395.748;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"4:[60.07,79.78)";"3:[4,985.24,7,477.86)"
0;"IT";0;"police";0;"m";0;0;"CH";0;0;24.25;"Yes";1.66666667;1;0;1;1;0;0.33333333;0;0;400;195.58943;0;1072.5;4450.017;4450.017;2149.34161;0;114.5855119;0;0;0;0.33333333;0;745.744105;2237.2323;1.1547005;0;0;0;0;0;0.5773503;0;0;217.94495;32.30314;0;0;1.353;1.353;104.3382;0;198.467928;0;0;0;0.5773503;0;1291.66668;0;"2:[20.63,40.35)";"2:[2,492.62,4,985.24)"
0;"GE";0;"chemist";0;"m";0;0;"CH";0;0;76.25;"Yes";3;1.33333333;0;0;0;1;0;0;0;800;2634.40607;0;0;4582.78821;0;5051.07274;4582.78821;0;0;0;0;0.33333333;0;666.666667;1645119.0946;2;0.5773503;0;0;0;0;0;0;0;0;1149.911;0;0;1.17117;0;1135.465;1.17117;0;0;0;0;0.5773503;0;1154.70054;1154.70054;"4:[60.07,79.78)";"1:[0.00,2,492.62)"
0;"IT";0;"business";0;"m";0;0;"CH";0;0;25.6666667;"Yes";2.85714286;1.14285714;0;1;1;0;0;0;0;1121.42857;1842.81305;0;600;5183.33936;5183.3394;4664.24162;0;0;0;0;0;0.14285714;0;1185.714286;15828.1023;0.8997354;0.3779645;0;0;0;0;0;0;0;990.73085;3121.972;0;0;69.3153976;69.3153976;3052.922;0;0;0;0;0;0.3779645;0;3137.10513;4436.53662;"2:[20.63,40.35)";"3:[4,985.24,7,477.86)"
0;"GE";0;"chemist";0;"f";0;0;"YU";0;0;46.5;"Yes";2.42857143;1.57142857;0;0;1;0;0;0;0.14285714;1178.57143;3220.51799;0;0;6011.38403;5928.5269;5549.08942;0;0;0;82.85714;0;0.57142857;0;1314.285714;490501.9849;1.3972763;0.5345225;0;0;0;0;0;0;0.3779645;1001.18977;1785.852;0;0;1939.4925163;1964.0562481;1976.899;0;0;0;219.2194;0;0.5345225;0;1759.19354;3629.37749;"3:[40.35,60.07)";"3:[4,985.24,7,477.86)"
0;"GE";0;"business";0;"m";0;0;"CH";0;0;56.8333333;"Yes";2.625;1;0.25;0;1;0;0.25;0;0;1143.75;3936.93966;1795.507;0;6244.78278;4449.2758;6269.51717;0;13.8275149;0;0;0.25;0;1795.507;0;231460.7772;1.5979898;0;0.46291;0;0;0;0.46291;0;0;1063.8332;87.31941;3351.8885;0;3312.6894727;213.0463245;671.8846;0;26.279902;0;0;0.46291;0;3351.8885;0;4933.06212;"3:[40.35,60.07)";"2:[2,492.62,4,985.24)"
0;"FR";0;"teacher";0;"f";0;0;"CH";0;0;36.0833333;"Yes";2.18181818;1;0;0;1;0;0.09090909;0;0;1204.54545;2201.17379;0;0;6023.10398;6023.104;4911.23087;0;5.5116252;0;0;0;0;0;0;82875.3312;1.2504545;0;0;0;0;0;0.3015113;0;0;937.6712;139.4037;0;0;1830.5649959;1830.5649959;744.1265;0;18.279993;0;0;0;0;0;0;0;"2:[20.63,40.35)";"3:[4,985.24,7,477.86)"
0;"GE";0;"chemist";0;"m";0;0;"YU";0;0;24.4166667;"Yes";2.8;1;0;1;1;0;0;0;0;1300;1029.00512;0;600;5927.922;5927.922;2929.00512;0;0;0;0;0;0;0;0;4510.7245;1.4832397;0;0;0;0;0;0;0;0;169.55825;390.1955;0;0;2.8488959;2.8488959;312.8204;0;0;0;0;0;0;0;0;0;"2:[20.63,40.35)";"3:[4,985.24,7,477.86)"
